genome,cluster,type,contig,start,end
NT12012_88,1,NRPS,NC_009800.1,630237,674119
NT12012_88,2,thiopeptide,NC_009800.1,1000682,1026975
NT12013_22,1,NRPS,CP009273.1,589612,633494
NT12013_22,2,thiopeptide,CP009273.1,935795,962088
NT12014_22,1,NRPS,CP009273.1,589612,633494
NT12014_22,2,thiopeptide,CP009273.1,935795,962088
NT12015_11,1,NRPS,NZ_AOEH01000020,0,29208
NT12015_11,1,thiopeptide,NZ_AOEH01000027,13000,39293
NT12015_11,1,arylpolyene|ladderane,NZ_AOEH01000037,0,35068
NT12015_11,1,arylpolyene,NZ_AOEH01000109,133925,177513
NT12016_152,1,NRPS,NC_017634.1,562835,606020
NT12016_152,2,thiopeptide,NC_017634.1,895096,921389
NT12016_152,3,NRPS|T1PKS,NC_017634.1,2003942,2059629
NT12016_152,1,siderophore,NC_017659.1,110227,124642
NT12017_35,1,thiopeptide,c00031_ECOR-01..,158843,185136
NT12017_35,1,NRPS,c00094_ECOR-01..,0,28764
NT12018_216,1,siderophore,c00050_ECOR-02..,5934,20349
NT12018_216,1,NRPS|T1PKS,c00069_ECOR-02..,150432,206119
NT12018_216,1,NRPS,c00092_ECOR-02..,57706,86471
NT12018_216,1,thiopeptide,c00102_ECOR-02..,230622,252412
NT12018_216,1,LAP,c00106_ECOR-02..,0,8782
NT12018_216,1,RiPP-like,c00145_ECOR-02..,7714,17966
NT12019_36,1,NRPS|T1PKS,c00017_ECOR-03..,150432,206119
NT12019_36,1,thiopeptide,c00019_ECOR-03..,0,21797
NT12019_36,1,siderophore,c00036_ECOR-03..,7924,22339
NT12019_36,1,NRPS,c00071_ECOR-03..,90421,119186
NT12019_36,1,RiPP-like,c00081_ECOR-03..,21285,31537
NT12019_36,1,LAP,c00113_ECOR-03..,0,8782
NT12020_217,1,thiopeptide,c00015_ECOR-04..,0,16499
NT12020_217,1,NRPS,c00048_ECOR-04..,0,27333
NT12021_218,1,NRPS,c00070_ECOR-05..,0,27284
NT12021_218,1,thiopeptide,c00099_ECOR-05..,0,16499
NT12022_37,1,thiopeptide,c00022_ECOR-06..,126959,153252
NT12022_37,1,NRPS,c00054_ECOR-06..,90487,119252
NT12023_38,1,thiopeptide,c00022_ECOR-07..,126959,153252
NT12023_38,1,NRPS,c00066_ECOR-07..,90487,119252
NT12024_39,1,thiopeptide,c00053_ECOR-08..,126959,153252
NT12024_39,1,NRPS,c00080_ECOR-08..,90771,119536
NT12025_40,1,T1PKS|NRPS,c00012_ECOR-09..,4544,57101
NT12025_40,1,NRPS,c00078_ECOR-09..,0,28764
NT12025_40,1,arylpolyene,c00125_ECOR-09..,0,21251
NT12025_40,1,thiopeptide,c00171_ECOR-09..,0,21798
NT12026_41,1,T1PKS|NRPS,c00035_ECOR-10..,8839,61372
NT12026_41,1,thiopeptide,c00047_ECOR-10..,25148,51441
NT12026_41,1,NRPS,c00070_ECOR-10..,90420,119185
NT12027_219,1,RiPP-like,c00019_ECOR-11..,0,5652
NT12027_219,1,siderophore,c00133_ECOR-11..,5144,16132
NT12027_219,1,NRPS,c00152_ECOR-11..,0,28764
NT12027_219,1,T1PKS|NRPS,c00154_ECOR-11..,0,34581
NT12027_219,1,thiopeptide,c00204_ECOR-11..,129027,155320
NT12028_42,1,NRPS,c00053_ECOR-12..,90420,119185
NT12029_43,1,NRPS,c00027_ECOR-13..,0,28764
NT12029_43,1,thiopeptide,c00083_ECOR-13..,98053,124346
NT12030_220,1,thiopeptide,c00068_ECOR-14..,126822,153115
NT12030_220,1,NRPS,c00082_ECOR-14..,57508,86270
NT12030_220,1,RiPP-like,c00097_ECOR-14..,651,8481
NT12030_220,1,RiPP-like,c00110_ECOR-14..,0,3107
NT12031_44,1,NRPS,c00088_ECOR-15..,92593,121357
NT12032_221,1,NRPS,c00012_ECOR-16..,23806,52599
NT12032_221,1,T1PKS|NRPS,c00038_ECOR-16..,4287,58576
NT12032_221,1,thiopeptide,c00098_ECOR-16..,29437,55730
NT12033_45,1,thiopeptide,c00032_ECOR-17..,82670,108963
NT12033_45,1,NRPS,c00042_ECOR-17..,0,26169
NT12034_46,1,NRPS,c00067_ECOR-18..,0,28764
NT12034_46,1,thiopeptide,c00070_ECOR-18..,83688,109981
NT12035_47,1,NRPS,c00051_ECOR-19..,0,8878
NT12035_47,1,thiopeptide,c00119_ECOR-19..,32033,58326
NT12036_48,1,thiopeptide,c00105_ECOR-20..,0,19567
NT12036_48,1,NRPS,c00116_ECOR-20..,18825,47587
NT12037_222,1,thiopeptide,c00101_ECOR-21..,0,19785
NT12037_222,1,NRPS,c00106_ECOR-21..,19043,47805
NT12038_49,1,NRPS,c00017_ECOR-22..,176359,220241
NT12038_49,1,thiopeptide,c00021_ECOR-22..,31195,57488
NT12039_223,1,NRPS,c00074_ECOR-23..,176359,220241
NT12039_223,1,thiopeptide,c00150_ECOR-23..,94825,121118
NT12040_50,1,T1PKS|NRPS,c00034_ECOR-24..,26627,77533
NT12040_50,1,siderophore,c00037_ECOR-24..,4123,17109
NT12040_50,1,thiopeptide,c00076_ECOR-24..,59695,85988
NT12040_50,1,NRPS,c00089_ECOR-24..,92227,136109
NT12041_224,1,RiPP-like,c00007_ECOR-25..,0,8969
NT12041_224,1,thiopeptide,c00044_ECOR-25..,149145,175438
NT12041_224,1,NRPS,c00058_ECOR-25..,0,10056
NT12042_225,1,NRPS,c00037_ECOR-26..,1451,45333
NT12042_225,1,thiopeptide,c00057_ECOR-26..,113475,139768
NT12043_226,1,thiopeptide,c00027_ECOR-27..,14591,40884
NT12043_226,1,NRPS,c00034_ECOR-27..,59443,103325
NT12044_51,1,thiopeptide,c00014_ECOR-28..,126842,153135
NT12044_51,1,NRPS,c00025_ECOR-28..,90289,134171
NT12044_51,1,phenazine,c00048_ECOR-28..,0,1199
NT12045_52,1,thiopeptide,c00011_ECOR-29..,68300,94593
NT12045_52,1,NRPS-like|phenazine,c00035_ECOR-29..,79941,121711
NT12045_52,1,NRPS,c00038_ECOR-29..,93271,137153
NT12046_227,1,RiPP-like,c00002_ECOR-30..,597,8427
NT12046_227,1,NRPS,c00045_ECOR-30..,57274,86036
NT12046_227,1,thiopeptide,c00062_ECOR-30..,126822,153115
NT12047_228,1,RiPP-like,c00067_ECOR-31..,651,8481
NT12047_228,1,NRPS,c00080_ECOR-31..,57508,86270
NT12047_228,1,thiopeptide,c00092_ECOR-31..,126822,153115
NT12048_229,1,NRPS|T1PKS,c00006_ECOR-32..,759,115680
NT12048_229,1,NRPS-like,c00039_ECOR-32..,0,4576
NT12048_229,1,thiopeptide,c00042_ECOR-32..,122803,149096
NT12048_229,1,NRPS,c00045_ECOR-32..,177166,221048
NT12048_229,1,arylpolyene,c00073_ECOR-32..,0,20841
NT12049_53,1,NRPS,c00042_ECOR-33..,0,28764
NT12049_53,1,thiopeptide,c00044_ECOR-33..,204854,231147
NT12050,1,thiopeptide,2,149023,175316
NT12050,1,RiPP-like,46,0,8892
NT12050,1,NRPS,49,0,9903
NT12051_54,1,thiopeptide,c00033_ECOR-35..,32120,58413
NT12051_54,1,NRPS,c00083_ECOR-35..,0,8942
NT12052_231,1,thiopeptide,c00012_ECOR-36..,0,14992
NT12052_231,1,siderophore,c00045_ECOR-36..,0,14188
NT12052_231,1,T1PKS|NRPS,c00088_ECOR-36..,3993,46640
NT12052_231,1,NRPS,c00142_ECOR-36..,0,28996
NT12053_55,1,siderophore,c00061_ECOR-37..,4689,15704
NT12053_55,1,T1PKS|NRPS,c00070_ECOR-37..,11100,58557
NT12053_55,1,thiopeptide,c00104_ECOR-37..,25535,45426
NT12053_55,1,NRPS,c00124_ECOR-37..,161122,205004
NT12054_232,1,siderophore,c00077_ECOR-38..,4689,15704
NT12054_232,1,T1PKS|NRPS,c00086_ECOR-38..,11100,58557
NT12054_232,1,thiopeptide,c00125_ECOR-38..,25515,45406
NT12054_232,1,NRPS,c00137_ECOR-38..,19711,63593
NT12055_233,1,T1PKS|NRPS,c00023_ECOR-39..,4829,52286
NT12055_233,1,thiopeptide,c00049_ECOR-39..,0,19891
NT12055_233,1,NRPS,c00102_ECOR-39..,47915,77033
NT12055_233,1,siderophore,c00123_ECOR-39..,4860,16004
NT12056_234,1,NRPS,c00016_ECOR-40..,47791,91673
NT12056_234,1,NRPS|T1PKS,c00084_ECOR-40..,0,41612
NT12056_234,1,thiopeptide,c00106_ECOR-40..,0,19891
NT12056_234,1,siderophore,c00113_ECOR-40..,0,9900
NT12057_235,1,siderophore,c00013_ECOR-41..,0,11015
NT12057_235,1,thiopeptide,c00027_ECOR-41..,25573,45465
NT12057_235,1,T1PKS|NRPS,c00048_ECOR-41..,17343,73030
NT12057_235,1,NRPS,c00079_ECOR-41..,47791,91673
NT12058_236,1,thiopeptide,c00009_ECOR-42..,167737,194030
NT12058_236,1,RiPP-like,c00014_ECOR-42..,0,7813
NT12058_236,1,NRPS,c00028_ECOR-42..,310519,354401
NT12058_236,1,arylpolyene,c00058_ECOR-42..,132158,175746
NT12059_56,1,NRPS,c00014_ECOR-43..,118498,162380
NT12059_56,1,thiopeptide,c00023_ECOR-43..,167419,193712
NT12059_56,1,RiPP-like,c00033_ECOR-43..,0,7813
NT12059_56,1,arylpolyene,c00059_ECOR-43..,48316,91904
NT12060_237,1,NRPS,c00013_ECOR-44..,52135,96017
NT12060_237,1,thiopeptide,c00040_ECOR-44..,106716,133009
NT12060_237,1,arylpolyene,c00046_ECOR-44..,140923,184511
NT12061_238,1,NRPS,c00030_ECOR-45..,0,28996
NT12061_238,1,thiopeptide,c00036_ECOR-45..,0,14992
NT12061_238,1,T1PKS|NRPS,c00062_ECOR-45..,1583,52455
NT12061_238,1,LAP,c00090_ECOR-45..,8213,30203
NT12061_238,1,siderophore,c00141_ECOR-45..,14698,26574
NT12062_239,1,NRPS|T1PKS,c00028_ECOR-46..,54140,104909
NT12062_239,1,RiPP-like,c00060_ECOR-46..,216,6153
NT12062_239,1,NRPS,c00167_ECOR-46..,0,29079
NT12063_57,1,NRPS,c00107_ECOR-47..,0,8942
NT12063_57,1,thiopeptide,c00130_ECOR-47..,32120,58413
NT12064_748,1,thiopeptide,c0228,25535,45426
NT12064_748,1,siderophore,c0428,4689,15704
NT12064_748,1,T1PKS|NRPS,c0648,11100,58557
NT12064_748,1,NRPS,c0804,142189,186071
NT12065_240,1,NRPS|T1PKS,c00030_ECOR-49..,0,34281
NT12065_240,1,thiopeptide,c00105_ECOR-49..,20724,47017
NT12065_240,1,NRPS,c00108_ECOR-49..,3138,47020
NT12066_241,1,siderophore,c00004_ECOR-50..,3668,15392
NT12066_241,1,T1PKS|NRPS,c00040_ECOR-50..,0,34293
NT12066_241,1,NRPS,c00054_ECOR-50..,0,29008
NT12066_241,1,thiopeptide,c00106_ECOR-50..,20732,47025
NT12067_242,1,thiopeptide,c00020_ECOR-51..,221469,247762
NT12067_242,1,NRPS,c00029_ECOR-51..,59446,103328
NT12068_243,1,NRPS|T1PKS,c00007_ECOR-52..,394,117144
NT12068_243,1,NRPS,c00025_ECOR-52..,117275,161157
NT12068_243,1,arylpolyene,c00060_ECOR-52..,0,20831
NT12068_243,1,thiopeptide,c00076_ECOR-52..,122748,149041
NT12069_244,1,NRPS|NRPS-like|T1PKS,c00003_ECOR-53..,2,70810
NT12069_244,1,arylpolyene,c00006_ECOR-53..,0,3943
NT12069_244,1,NRPS|T1PKS,c00013_ECOR-53..,0,49379
NT12069_244,1,thiopeptide,c00038_ECOR-53..,126108,152401
NT12069_244,1,NRPS,c00063_ECOR-53..,177690,221572
NT12070_245,1,NRPS|T1PKS,c00002_ECOR-54..,0,43219
NT12070_245,1,thiopeptide,c00032_ECOR-54..,109905,136198
NT12070_245,1,T1PKS|NRPS,c00033_ECOR-54..,0,42375
NT12070_245,1,NRPS|NRPS-like,c00036_ECOR-54..,0,21461
NT12070_245,1,NRPS,c00057_ECOR-54..,103675,147557
NT12071_246,1,NRPS,c00008_ECOR-55..,69141,97906
NT12071_246,1,thiopeptide,c00021_ECOR-55..,158817,185110
NT12071_246,1,RiPP-like,c00095_ECOR-55..,651,8481
NT12072_58,1,thiopeptide,c00005_ECOR-56..,167493,193786
NT12072_58,1,T1PKS|NRPS,c00049_ECOR-56..,31145,86832
NT12072_58,1,NRPS,c00082_ECOR-56..,60935,104817
NT12072_58,1,arylpolyene,c00088_ECOR-56..,36237,79825
NT12073_247,1,NRPS-like,c00015_ECOR-57..,0,5730
NT12073_247,1,arylpolyene,c00029_ECOR-57..,0,20843
NT12073_247,1,NRPS|T1PKS,c00035_ECOR-57..,0,48638
NT12073_247,1,siderophore,c00038_ECOR-57..,0,11351
NT12073_247,1,T1PKS|NRPS,c00049_ECOR-57..,0,43746
NT12073_247,1,NRPS-like|NRPS,c00051_ECOR-57..,0,17719
NT12073_247,1,thiopeptide,c00070_ECOR-57..,12525,38818
NT12073_247,1,NRPS,c00102_ECOR-57..,6375,50257
NT12074_248,1,NRPS,c00010_ECOR-58..,59403,103285
NT12074_248,1,thiopeptide,c00045_ECOR-58..,127075,153368
NT12075_249,1,thiopeptide,c00001_ECOR-59..,209847,236140
NT12075_249,1,NRPS,c00027_ECOR-59..,6549,50431
NT12075_249,1,siderophore,c00068_ECOR-59..,0,8997
NT12075_249,1,NRPS|T1PKS,c00102_ECOR-59..,23179,65699
NT12076_250,1,NRPS-like|NRPS,c00014_ECOR-60..,0,15814
NT12076_250,1,T1PKS|NRPS,c00015_ECOR-60..,0,45264
NT12076_250,1,RiPP-like,c00016_ECOR-60..,0,6153
NT12076_250,1,arylpolyene,c00027_ECOR-60..,0,25769
NT12076_250,1,T1PKS|NRPS,c00044_ECOR-60..,0,50939
NT12076_250,1,NRPS,c00053_ECOR-60..,122496,166378
NT12076_250,1,thiopeptide,c00078_ECOR-60..,123896,150189
NT12077_251,1,NRPS,c00041_ECOR-61..,49913,93795
NT12077_251,1,NRPS|NRPS-like|T1PKS,c00054_ECOR-61..,20,76481
NT12077_251,1,NRPS|T1PKS,c00087_ECOR-61..,0,43683
NT12077_251,1,thiopeptide,c00095_ECOR-61..,154675,180968
NT12077_251,1,arylpolyene,c00096_ECOR-61..,0,1223
NT12078,1,NRPS|T1PKS,2,874,121448
NT12078,1,thiopeptide,6,21883,48176
NT12078,1,NRPS,8,177285,221167
NT12079_253,1,NRPS,c00054_ECOR-63..,49259,93141
NT12079_253,1,thiopeptide,c00055_ECOR-63..,197762,224055
NT12079_253,1,NRPS|T1PKS,c00076_ECOR-63..,30194,151383
NT12080_254,1,thiopeptide,c00027_ECOR-64..,238283,264576
NT12080_254,1,NRPS,c00043_ECOR-64..,91041,134923
NT12081_59,1,thiopeptide,c00012_ECOR-65..,87905,114198
NT12081_59,1,NRPS,c00027_ECOR-65..,16517,60399
NT12081_59,1,arylpolyene,c00052_ECOR-65..,0,20993
NT12081_59,1,NRPS|T1PKS,c00053_ECOR-65..,702,121280
NT12082_255,1,NRPS,c00002_ECOR-66..,117283,161165
NT12082_255,1,thiopeptide,c00024_ECOR-66..,154089,180382
NT12082_255,1,T1PKS|NRPS,c00059_ECOR-66..,0,50776
NT12082_255,1,NRPS|T1PKS,c00084_ECOR-66..,0,66454
NT12082_255,1,arylpolyene,c00085_ECOR-66..,0,20841
NT12083_256,1,NRPS,c00018_ECOR-67..,59536,103418
NT12083_256,1,thiopeptide,c00030_ECOR-67..,222429,248722
NT12084_257,1,LAP,c00038_ECOR-68..,0,17108
NT12084_257,1,thiopeptide,c00039_ECOR-68..,127098,153391
NT12084_257,1,NRPS,c00110_ECOR-68..,1470,45352
NT12085_258,1,thiopeptide,c00033_ECOR-69..,14547,40840
NT12085_258,1,NRPS,c00069_ECOR-69..,59403,103285
NT12086_259,1,T1PKS|NRPS,c00003_ECOR-70..,16909,63331
NT12086_259,1,thiopeptide,c00008_ECOR-70..,25293,51586
NT12086_259,1,siderophore,c00017_ECOR-70..,0,13370
NT12086_259,1,NRPS,c00046_ECOR-70..,59926,88689
NT12087_260,1,T1PKS|NRPS,c00002_ECOR-71..,12915,64653
NT12087_260,1,NRPS,c00010_ECOR-71..,14428,58310
NT12087_260,1,thiopeptide,c00112_ECOR-71..,14551,40844
NT12088_261,1,NRPS,c00015_ECOR-72..,0,28766
NT12088_261,1,siderophore,c00033_ECOR-72..,10074,23758
NT12088_261,1,thiopeptide,c00093_ECOR-72..,138667,164960
NT12088_261,1,T1PKS|NRPS,c00118_ECOR-72..,0,34369
NT12089_32,1,siderophore,JMST01000013.1,0,13441
NT12089_32,1,T1PKS|NRPS,JMST01000090.1,12545,68067
NT12089_32,1,NRPS,JMST01000109.1,36258,80140
NT12090_204,1,NRPS,NC_017635.1,665029,708911
NT12090_204,2,thiopeptide,NC_017635.1,1048361,1074654
NT12091_12,1,thiopeptide,NC_010468.1,2943725,2970018
NT12091_12,2,NRPS,NC_010468.1,3319197,3363079
NT12092_10,1,siderophore,ASHD01000011.1,28542,42957
NT12092_10,1,T1PKS|NRPS,ASHD01000019.1,0,28752
NT12092_10,1,arylpolyene,ASHD01000021.1,0,18190
NT12092_10,1,NRPS|T1PKS,ASHD01000045.1,394826,471085
NT12092_10,1,NRPS,ASHD01000052.1,24502,68384
NT12092_10,1,thiopeptide,ASHD01000106.1,153866,180159
NT12093_170,1,NRPS,NZ_AOGN01000021,0,28685
NT12093_170,1,thiopeptide,NZ_AOGN01000028,59031,75540
NT12094_30,1,NRPS,NC_017638.1,584416,628298
NT12094_30,2,thiopeptide,NC_017638.1,929331,955624
NT12095_187,1,NRPS,NC_010473.1,533314,576173
NT12095_187,2,NRPS,NC_010473.1,645971,689853
NT12095_187,3,thiopeptide,NC_010473.1,993490,1019783
NT12096_3,1,NRPS,NC_017631.1,645952,688625
NT12096_3,2,thiopeptide,NC_017631.1,966126,992419
NT12096_3,3,arylpolyene,NC_017631.1,1098550,1142138
NT12096_3,4,NRPS|T1PKS,NC_017631.1,2183360,2308586
NT12096_3,5,siderophore,NC_017631.1,3338071,3352486
NT12097_202,1,NRPS,NC_007946.1,578906,621480
NT12097_202,2,thiopeptide,NC_007946.1,944845,971138
NT12097_202,3,NRPS|T1PKS,NC_007946.1,2059216,2185074
NT12098_101,1,NRPS,NC_011741.1,596989,640871
NT12098_101,2,thiopeptide,NC_011741.1,992604,1018897
NT12099_89,1,NRPS,c00033_IAI02_c..,91804,135686
NT12099_89,1,thiopeptide,c00041_IAI02_c..,66781,93074
NT12100_90,1,thiopeptide,c00049_IAI03_c..,166958,193251
NT12100_90,1,NRPS,c00083_IAI03_c..,0,28765
NT12101_91,1,thiopeptide,c00048_IAI04_c..,126913,153206
NT12101_91,1,NRPS,c00070_IAI04_c..,0,28764
NT12102_92,1,ladderane|arylpolyene,c00062_IAI05_c..,1176,43735
NT12102_92,2,thiopeptide,c00062_IAI05_c..,174033,200326
NT12102_92,1,NRPS,c00069_IAI05_c..,24202,52967
NT12102_92,1,siderophore,c00100_IAI05_c..,10567,21773
NT12102_92,1,arylpolyene,c00131_IAI05_c..,44939,88527
NT12103_262,1,NRPS|T1PKS,c00033_IAI06_c..,0,36244
NT12103_262,1,thiopeptide,c00082_IAI06_c..,0,12307
NT12103_262,1,NRPS,c00259_IAI06_c..,38385,67149
NT12104_93,1,NRPS,c00014_IAI07_c..,0,28765
NT12104_93,1,RiPP-like,c00063_IAI07_c..,0,3762
NT12104_93,1,RiPP-like,c00072_IAI07_c..,0,8383
NT12104_93,1,thiopeptide,c00118_IAI07_c..,71885,98178
NT12105_263,1,NRPS,c00054_IAI08_c..,25779,69661
NT12105_263,1,thiopeptide,c00056_IAI08_c..,126910,153203
NT12106_94,1,NRPS,c00034_IAI09_c..,90462,119227
NT12106_94,1,RiPP-like,c00040_IAI09_c..,0,3748
NT12106_94,1,thiopeptide,c00048_IAI09_c..,158608,184901
NT12107_264,1,NRPS,c00007_IAI10_c..,0,28764
NT12107_264,1,thiopeptide,c00034_IAI10_c..,126909,153202
NT12107_264,1,T1PKS|NRPS,c00048_IAI10_c..,168351,224038
NT12108_95,1,thiopeptide,c00025_IAI11_c..,0,16396
NT12108_95,1,NRPS,c00026_IAI11_c..,87880,116645
NT12108_95,1,siderophore,c00126_IAI11_c..,4952,19367
NT12108_95,1,RiPP-like,c00153_IAI11_c..,0,2112
NT12109_96,1,thiopeptide,c00030_IAI12_c..,126959,153252
NT12109_96,1,NRPS,c00033_IAI12_c..,92085,120850
NT12110_97,1,NRPS,c00073_IAI13_c..,90487,119252
NT12110_97,1,thiopeptide,c00074_IAI13_c..,16716,43009
NT12111_265,1,thiopeptide,c00007_IAI14_c..,35221,61514
NT12111_265,1,siderophore,c00051_IAI14_c..,0,11020
NT12111_265,1,NRPS,c00054_IAI14_c..,0,27875
NT12111_265,1,T1PKS|NRPS,c00074_IAI14_c..,0,52337
NT12112_266,1,NRPS|T1PKS,c00021_IAI15_c..,27921,73421
NT12112_266,1,NRPS,c00051_IAI15_c..,57503,86268
NT12112_266,1,thiopeptide,c00091_IAI15_c..,12259,38552
NT12113_98,1,RiPP-like,c00009_IAI16_c..,12153,18425
NT12113_98,1,thiopeptide,c00018_IAI16_c..,82892,99672
NT12113_98,1,NRPS,c00149_IAI16_c..,20037,48801
NT12114_99,1,thiopeptide,c00079_IAI17_c..,13196,39489
NT12114_99,1,NRPS,c00197_IAI17_c..,90421,119186
NT12114_99,1,arylpolyene,c00286_IAI17_c..,0,1917
NT12114_99,1,NRPS|T1PKS,c00314_IAI17_c..,0,45500
NT12115_267,1,T1PKS|NRPS,c00040_IAI18_c..,0,50741
NT12115_267,1,NRPS,c00083_IAI18_c..,93479,126804
NT12116_100,1,thiopeptide,c00011_IAI19_c..,126913,160212
NT12116_100,1,NRPS,c00019_IAI19_c..,18221,46986
NT12117_268,1,NRPS,c00044_IAI20_c..,23591,50967
NT12117_268,1,NRPS,c00067_IAI20_c..,93007,121772
NT12118_269,1,arylpolyene,c00024_IAI21_c..,0,24405
NT12118_269,1,RiPP-like,c00025_IAI21_c..,2427,10043
NT12118_269,1,NRPS,c00050_IAI21_c..,90387,134269
NT12118_269,1,thiopeptide,c00127_IAI21_c..,127187,153480
NT12119_102,1,RiPP-like,c00007_IAI22_c..,2640,13177
NT12119_102,1,thiopeptide,c00050_IAI22_c..,127176,153469
NT12119_102,1,NRPS,c00084_IAI22_c..,90494,119259
NT12120_270,1,RiPP-like,c00081_IAI23_c..,0,2756
NT12120_270,1,NRPS,c00098_IAI23_c..,0,28764
NT12120_270,1,thiopeptide,c00131_IAI23_c..,25296,51589
NT12121_103,1,thiopeptide,c00011_IAI24_c..,177337,203630
NT12121_103,1,arylpolyene,c00024_IAI24_c..,140923,184511
NT12121_103,1,NRPS,c00040_IAI24_c..,67322,111204
NT12122_271,1,NRPS,c00077_IAI25_c..,48474,77132
NT12122_271,1,thiopeptide,c00080_IAI25_c..,25166,51459
NT12123_272,1,thiopeptide,c00045_IAI26_c..,500182,526475
NT12123_272,1,NRPS,c00050_IAI26_c..,46940,75705
NT12124_273,1,NRPS,c00038_IAI27_c..,4658,48540
NT12124_273,1,thiopeptide,c00044_IAI27_c..,1706,27999
NT12124_273,1,arylpolyene,c00068_IAI27_c..,43768,87356
NT12125_274,1,NRPS,c00016_IAI28_c..,57486,86251
NT12125_274,1,thiopeptide,c00079_IAI28_c..,25155,51448
NT12126_104,1,thiopeptide,c00004_IAI29_c..,19132,45425
NT12126_104,1,NRPS|T1PKS,c00041_IAI29_c..,0,42539
NT12126_104,1,siderophore,c00066_IAI29_c..,0,12206
NT12126_104,1,NRPS,c00110_IAI29_c..,182313,226195
NT12127_105,1,arylpolyene,c00012_IAI30_c..,43768,87356
NT12127_105,1,NRPS,c00044_IAI30_c..,125077,168959
NT12127_105,1,thiopeptide,c00052_IAI30_c..,26542,52835
NT12128_275,1,NRPS,c00037_IAI31_c..,0,28767
NT12128_275,1,thiopeptide,c00101_IAI31_c..,119469,145762
NT12128_275,1,siderophore,c00132_IAI31_c..,0,11015
NT12129,1,NRPS,3,152094,195976
NT12129,1,thiopeptide,15,59385,85678
NT12130_106,1,thiopeptide,c00032_IAI33_c..,20493,46786
NT12130_106,1,NRPS,c00045_IAI33_c..,0,28764
NT12131_107,1,NRPS,c00025_IAI34_c..,0,28814
NT12131_107,1,thiopeptide,c00079_IAI34_c..,93890,120183
NT12132_277,1,RiPP-like,c00041_IAI35_c..,6131,17667
NT12132_277,1,thiopeptide,c00096_IAI35_c..,36312,56204
NT12132_277,1,NRPS|T1PKS,c00146_IAI35_c..,0,42317
NT12132_277,1,NRPS,c00166_IAI35_c..,230242,259238
NT12133_278,1,NRPS,c00010_IAI36_c..,0,24345
NT12133_278,1,T1PKS|NRPS,c00022_IAI36_c..,0,52576
NT12133_278,1,siderophore,c00078_IAI36_c..,3776,14791
NT12133_278,1,thiopeptide,c00171_IAI36_c..,0,19891
NT12134_279,1,T1PKS|NRPS,c00029_IAI37_c..,0,33086
NT12134_279,1,NRPS,c00034_IAI37_c..,0,28764
NT12134_279,1,thiopeptide,c00072_IAI37_c..,0,19892
NT12134_279,1,siderophore,c00089_IAI37_c..,4337,16151
NT12134_279,1,NRPS,c00113_IAI37_c..,0,11949
NT12135_280,1,NRPS,c00013_IAI38_c..,6626,50508
NT12135_280,1,thiopeptide,c00042_IAI38_c..,103697,129990
NT12135_280,1,siderophore,c00093_IAI38_c..,0,12525
NT12135_280,1,NRPS|T1PKS,c00116_IAI38_c..,0,42810
NT12136_108,1,NRPS,NC_011750.1,574571,617133
NT12136_108,2,T1PKS|NRPS,NC_011750.1,1118198,1173885
NT12136_108,3,thiopeptide,NC_011750.1,2288990,2315283
NT12136_108,4,siderophore,NC_011750.1,3564175,3578590
NT12137_109,1,arylpolyene,c00048_IAI40_c..,0,2639
NT12137_109,1,NRPS,c00079_IAI40_c..,0,28767
NT12137_109,1,thiopeptide,c00116_IAI40_c..,224882,251175
NT12137_109,1,siderophore,c00141_IAI40_c..,4407,15512
NT12137_109,1,T1PKS|NRPS,c00370_IAI40_c..,0,47501
NT12138_281,1,T1PKS|NRPS,c00006_IAI41_c..,0,47811
NT12138_281,1,NRPS,c00012_IAI41_c..,59445,103327
NT12139_282,1,NRPS,c00069_IAI42_c..,0,22936
NT12139_282,1,T1PKS|NRPS,c00119_IAI42_c..,0,43391
NT12140_283,1,NRPS,c00102_IAI43_c..,212,44094
NT12140_283,1,siderophore,c00112_IAI43_c..,0,13518
NT12140_283,1,T1PKS|NRPS,c00131_IAI43_c..,11268,59049
NT12141_284,1,NRPS,c00016_IAI44_c..,57269,86034
NT12141_284,1,NRPS|T1PKS,c00037_IAI44_c..,381200,436887
NT12141_284,1,thiopeptide,c00069_IAI44_c..,39211,65504
NT12142,1,NRPS,4,188330,232212
NT12142,1,thiopeptide,12,119458,145751
NT12143_286,1,siderophore,c00016_IAI46_c..,0,14209
NT12143_286,1,thiopeptide,c00038_IAI46_c..,79842,106135
NT12143_286,1,T1PKS|NRPS,c00050_IAI46_c..,14125,69812
NT12143_286,1,NRPS,c00052_IAI46_c..,121817,165699
NT12144_110,1,thiopeptide,c00005_IAI47_c..,214489,240783
NT12144_110,2,NRPS,c00005_IAI47_c..,526909,570791
NT12144_110,1,RiPP-like,c00020_IAI47_c..,0,2710
NT12144_110,1,NRPS|T1PKS,c00029_IAI47_c..,0,54186
NT12144_110,1,NRPS|T1PKS,c00055_IAI47_c..,95,66749
NT12145_111,1,siderophore,c00013_IAI48_c..,3139,17554
NT12145_111,1,NRPS,c00015_IAI48_c..,7162,51044
NT12145_111,1,thiopeptide,c00166_IAI48_c..,63217,89510
NT12146_287,1,NRPS|T1PKS,c00018_IAI49_c..,108167,178972
NT12146_287,1,NRPS,c00021_IAI49_c..,82339,126221
NT12146_287,1,NRPS|T1PKS,c00025_IAI49_c..,0,49387
